127.0.0.1 - - [11/Mar/2024:14:51:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:51:16 +0530] "GET /ProductManagementApplication/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:51:16 +0530] "GET /ProductManagementApplication/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:51:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:51:21 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 41474
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:51:29 +0530] "GET /ProductManagementApplication/EditProductServlet?proId=121 HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:00:12 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 41474
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:00:14 +0530] "GET /ProductManagementApplication/EditProductServlet?proId=121 HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:01:08 +0530] "GET /ProductManagementApplication/EditProductServlet?proId=121 HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:01:35 +0530] "GET /ProductManagementApplication/EditProductServlet?proId=121 HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:01:55 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 41474
